customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000178,Female,0,No,No,23,No,No,Fiber optic,Yes,No,No internet service,No,No,No,Two year,No,Credit card (automatic),29.87,680.09,No
0000179,Female,0,No,Yes,65,Yes,No,No,Yes,No,No internet service,Yes,Yes,No,Two year,No,Bank transfer (automatic),22.33,1460.2,No
0000180,Male,1,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),67.17,4700.8,No
0000181,Female,0,No,No,40,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,104.6,4191.2,No
0000182,Male,1,Yes,No,64,No,Yes,No,No internet service,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,33.97,2165.36,No
0000183,Male,1,No,Yes,38,Yes,No phone service,No,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),55.67,2108.07,No
0000184,Female,1,No,No,51,No,Yes,Fiber optic,Yes,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),60.46,3077.74,No
0000185,Male,1,No,Yes,46,No,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Two year,No,Mailed check,49.14,2266.65,No
0000186,Male,1,No,No,11,No,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,86.09,940.25,Yes
0000187,Male,1,No,Yes,60,No,No,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),115.86,6943.19,Yes
0000188,Female,0,No,Yes,12,No,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,48.13,579.09,No
0000189,Male,1,No,No,27,No,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),83.73,2267.04,No
0000190,Male,0,Yes,Yes,55,No,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,One year,No,Electronic check,29.95,1652.28,No
0000191,Female,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),47.16,1084.69,No
0000192,Male,1,Yes,No,40,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,80.82,3229.56,No
0000193,Female,1,No,Yes,6,No,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),95.84,579.68,No
0000194,Female,0,No,No,19,No,No phone service,Fiber optic,No,No,No,No internet service,No,No,Two year,No,Credit card (automatic),97.54,1844.53,No
0000195,Male,1,No,No,42,No,No,No,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,112.98,4755.0,Yes
0000196,Male,0,No,Yes,34,No,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Mailed check,70.26,2388.96,No
0000197,Male,1,No,No,18,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,One year,No,Electronic check,76.29,1376.14,Yes
0000198,Male,0,No,No,17,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,61.84,1061.12,Yes
0000199,Male,1,No,Yes,43,No,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,No,One year,Yes,Electronic check,63.52,2726.32,No
0000200,Female,0,No,Yes,71,No,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),47.61,3379.47,Yes
